energy,delta
1,0.00010717
2,4.2126e-05
3,2.1947e-05
4,1.3198e-05
5,8.7072e-06
6,6.1314e-06
7,4.5318e-06
8,3.4771e-06
9,2.7483e-06
10,2.2254e-06
11,1.8383e-06
12,1.5442e-06
13,1.3154e-06
14,1.1339e-06
15,9.8756e-07
16,8.6783e-07
17,7.6863e-07
18,6.8552e-07
19,6.1519e-07
20,5.5516e-07
21,5.0351e-07
22,4.5874e-07
23,4.197e-07
24,3.8543e-07
25,3.552e-07
26,3.2839e-07
27,3.045e-07
28,2.8313e-07
29,2.6393e-07
30,2.4662e-07
31,2.3096e-07
32,2.1675e-07
33,2.038e-07
34,1.9199e-07
35,1.8117e-07
36,1.7124e-07
37,1.6211e-07
38,1.5369e-07
39,1.459e-07
40,1.387e-07
41,1.3201e-07
42,1.258e-07
43,1.2002e-07
44,1.1462e-07
45,1.0958e-07
46,1.0487e-07
47,1.0045e-07
48,9.6311e-08
49,9.2419e-08
50,8.8759e-08
51,8.5312e-08
52,8.2061e-08
53,7.8994e-08
54,7.6095e-08
55,7.3352e-08
56,7.0756e-08
57,6.8294e-08
58,6.5959e-08
59,6.3742e-08
60,6.1635e-08
61,5.963e-08
62,5.7722e-08
63,5.5904e-08
64,5.4171e-08
65,5.2516e-08
66,5.0937e-08
67,4.9428e-08
68,4.7984e-08
69,4.6603e-08
70,4.5281e-08
71,4.4015e-08
72,4.28e-08
73,4.1636e-08
74,4.0518e-08
75,3.9445e-08
76,3.8413e-08
77,3.7422e-08
78,3.6469e-08
79,3.5551e-08
80,3.4668e-08
81,3.3817e-08
82,3.2997e-08
83,3.2207e-08
84,3.1444e-08
85,3.0709e-08
86,2.9999e-08
87,2.9313e-08
88,2.8651e-08
89,2.801e-08
90,2.7391e-08
91,2.6793e-08
92,2.6213e-08
93,2.5653e-08
94,2.511e-08
95,2.4584e-08
96,2.4074e-08
97,2.358e-08
98,2.3102e-08
99,2.2637e-08
100,2.2187e-08
101,2.175e-08
102,2.1325e-08
103,2.0913e-08
104,2.0513e-08
105,2.0124e-08
106,1.9746e-08
107,1.9379e-08
108,1.9022e-08
109,1.8674e-08
110,1.8336e-08
111,1.8007e-08
112,1.7687e-08
113,1.7375e-08
114,1.7072e-08
115,1.6776e-08
116,1.6488e-08
117,1.6208e-08
118,1.5934e-08
119,1.5667e-08
120,1.5407e-08
121,1.5154e-08
122,1.4906e-08
123,1.4665e-08
124,1.4429e-08
125,1.4199e-08
126,1.3975e-08
127,1.3756e-08
128,1.3542e-08
129,1.3332e-08
130,1.3128e-08
131,1.2928e-08
132,1.2733e-08
133,1.2543e-08
134,1.2356e-08
135,1.2174e-08
136,1.1995e-08
137,1.1821e-08
138,1.165e-08
139,1.1483e-08
140,1.132e-08
141,1.116e-08
142,1.1003e-08
143,1.085e-08
144,1.0699e-08
145,1.0552e-08
146,1.0408e-08
147,1.0267e-08
148,1.0129e-08
149,9.9934e-09
150,9.8606e-09
151,9.7304e-09
152,9.6028e-09
153,9.4776e-09
154,9.355e-09
155,9.2346e-09
156,9.1166e-09
157,9.0009e-09
158,8.8873e-09
159,8.7758e-09
160,8.6665e-09